variable,ISO,scenario,year,value
Need of heating only,GAB,SDS,2040,0
Need of heating only,GRC,SDS,2040,0
Need of heating only,GHA,SDS,2040,0
Need of heating only,JPN,SDS,2040,1
Need of heating only,MDG,SDS,2040,0
Need of heating only,NER,SDS,2040,0
Need of heating only,DMA,SDS,2040,0
Need of heating only,JAM,SDS,2040,0
Need of heating only,KHM,SDS,2040,0
Need of heating only,LBN,SDS,2040,0
Need of heating only,CZE,SDS,2040,2
Need of heating only,GRD,SDS,2040,0
Need of heating only,TON,SDS,2040,0
Need of heating only,MUS,SDS,2040,0
Need of heating only,MAF,SDS,2040,0
Need of heating only,ABCD,SDS,2040,0
Need of heating only,HRV,SDS,2040,0
Need of heating only,SVN,SDS,2040,0
Need of heating only,IDN,SDS,2040,0
Need of heating only,ETH,SDS,2040,0
Need of heating only,DEU,SDS,2040,2
Need of heating only,NIU,SDS,2040,0
Need of heating only,PAK,SDS,2040,1
Need of heating only,PLW,SDS,2040,0
Need of heating only,FRO,SDS,2040,100
Need of heating only,LCA,SDS,2040,0
Need of heating only,SDN,SDS,2040,0
Need of heating only,SWE,SDS,2040,100
Need of heating only,LTU,SDS,2040,10
Need of heating only,LKA,SDS,2040,0
Need of heating only,KGZ,SDS,2040,41
Need of heating only,URY,SDS,2040,0
Need of heating only,ZAF,SDS,2040,0
Need of heating only,LVA,SDS,2040,60
Need of heating only,TKL,SDS,2040,0
Need of heating only,NAM,SDS,2040,0
Need of heating only,LBY,SDS,2040,0
Need of heating only,AUS,SDS,2040,1
Need of heating only,SLE,SDS,2040,0
Need of heating only,GNB,SDS,2040,0
Need of heating only,ITA,SDS,2040,3
Need of heating only,SAU,SDS,2040,0
Need of heating only,TCA,SDS,2040,0
Need of heating only,DJI,SDS,2040,0
Need of heating only,HND,SDS,2040,0
Need of heating only,BVT,SDS,2040,0
Need of heating only,BFA,SDS,2040,0
Need of heating only,SEN,SDS,2040,0
Need of heating only,VCT,SDS,2040,0
Need of heating only,CHE,SDS,2040,24
Need of heating only,NRU,SDS,2040,0
Need of heating only,TUV,SDS,2040,0
Need of heating only,BLZ,SDS,2040,0
Need of heating only,SLV,SDS,2040,0
Need of heating only,SMR,SDS,2040,0
Need of heating only,KWT,SDS,2040,0
Need of heating only,IRQ,SDS,2040,0
Need of heating only,AUT,SDS,2040,18
Need of heating only,ATG,SDS,2040,0
Need of heating only,VNM,SDS,2040,0
Need of heating only,TZA,SDS,2040,0
Need of heating only,DNK,SDS,2040,98
Need of heating only,CPV,SDS,2040,0
Need of heating only,GNQ,SDS,2040,0
Need of heating only,COG,SDS,2040,0
Need of heating only,LSO,SDS,2040,9
Need of heating only,NPL,SDS,2040,4
Need of heating only,ERI,SDS,2040,0
Need of heating only,AND,SDS,2040,100
Need of heating only,LIE,SDS,2040,100
Need of heating only,PYF,SDS,2040,0
Need of heating only,MDA,SDS,2040,0
Need of heating only,TUR,SDS,2040,2
Need of heating only,CRI,SDS,2040,0
Need of heating only,CYP,SDS,2040,0
Need of heating only,ABCD-PSE,SDS,2040,0
Need of heating only,EST,SDS,2040,100
Need of heating only,TLS,SDS,2040,0
Need of heating only,SLB,SDS,2040,0
Need of heating only,HTI,SDS,2040,0
Need of heating only,MEX,SDS,2040,0
Need of heating only,USA,SDS,2040,1
Need of heating only,SXM,SDS,2040,0
Need of heating only,ISR,SDS,2040,0
Need of heating only,SOM,SDS,2040,0
Need of heating only,BRB,SDS,2040,0
Need of heating only,BEL,SDS,2040,0
Need of heating only,UKR,SDS,2040,1
Need of heating only,FSM,SDS,2040,0
Need of heating only,MYT,SDS,2040,0
Need of heating only,COM,SDS,2040,0
Need of heating only,VEN,SDS,2040,0
Need of heating only,TUN,SDS,2040,0
Need of heating only,HUN,SDS,2040,0
Need of heating only,SYR,SDS,2040,0
Need of heating only,ESP,SDS,2040,1
Need of heating only,THA,SDS,2040,0
Need of heating only,BEN,SDS,2040,0
Need of heating only,CHN,SDS,2040,2
Need of heating only,CYM,SDS,2040,0
Need of heating only,KAZ,SDS,2040,12
Need of heating only,PRI,SDS,2040,0
Need of heating only,BWA,SDS,2040,0
Need of heating only,PRT,SDS,2040,0
Need of heating only,KOR,SDS,2040,0
Need of heating only,GRL,SDS,2040,100
Need of heating only,abcde,SDS,2040,0
Need of heating only,GGY,SDS,2040,0
Need of heating only,BGD,SDS,2040,0
Need of heating only,SGP,SDS,2040,0
Need of heating only,BLM,SDS,2040,0
Need of heating only,JEY,SDS,2040,0
Need of heating only,TCD,SDS,2040,0
Need of heating only,NFK,SDS,2040,0
Need of heating only,ABCDE,SDS,2040,100
Need of heating only,IND,SDS,2040,0
Need of heating only,HMD,SDS,2040,0
Need of heating only,GMB,SDS,2040,0
Need of heating only,PAN,SDS,2040,0
Need of heating only,EGY,SDS,2040,0
Need of heating only,ABW,SDS,2040,0
Need of heating only,NIC,SDS,2040,0
Need of heating only,AGO,SDS,2040,0
Need of heating only,BDI,SDS,2040,0
Need of heating only,COD,SDS,2040,0
Need of heating only,VGB,SDS,2040,0
Need of heating only,BRA,SDS,2040,0
Need of heating only,COK,SDS,2040,0
Need of heating only,DZA,SDS,2040,0
Need of heating only,QAT,SDS,2040,0
Need of heating only,MKD,SDS,2040,0
Need of heating only,BGR,SDS,2040,1
Need of heating only,KIR,SDS,2040,0
Need of heating only,CAN,SDS,2040,41
Need of heating only,MYS,SDS,2040,0
Need of heating only,LBR,SDS,2040,0
Need of heating only,SGS,SDS,2040,0
Need of heating only,TJK,SDS,2040,19
Need of heating only,AFG,SDS,2040,7
Need of heating only,CMR,SDS,2040,0
Need of heating only,WSM,SDS,2040,0
Need of heating only,REU,SDS,2040,0
Need of heating only,ARE,SDS,2040,0
Need of heating only,MDV,SDS,2040,0
