variable,region,scenario,year,value
Needing cooling (all year),Europe,STEPS,2070,0
Needing cooling (all year),Middle East,STEPS,2070,46
Needing cooling (all year),Africa,STEPS,2070,56
Needing cooling (all year),World,STEPS,2070,48
Living in high cooling density areas,Asia Pacific,0,2019,19
Living in high cooling density areas,Central & South America,0,2019,30
Living in high cooling density areas,North America,0,2019,11
Living in high cooling density areas,Eurasia,0,2019,1
Living in high cooling density areas,Europe,0,2019,1
Living in high cooling density areas,Middle East,0,2019,10
Living in high cooling density areas,Africa,0,2019,15
Living in high cooling density areas,World,0,2019,16
Living in high cooling density areas,Asia Pacific,SDS,2040,26
Living in high cooling density areas,Central & South America,SDS,2040,32
Living in high cooling density areas,North America,SDS,2040,13
Living in high cooling density areas,Eurasia,SDS,2040,1
Living in high cooling density areas,Europe,SDS,2040,2
Living in high cooling density areas,Middle East,SDS,2040,13
Living in high cooling density areas,Africa,SDS,2040,19
Living in high cooling density areas,World,SDS,2040,21
Living in high cooling density areas,Asia Pacific,SDS,2070,32
Living in high cooling density areas,Central & South America,SDS,2070,33
Living in high cooling density areas,North America,SDS,2070,14
Living in high cooling density areas,Eurasia,SDS,2070,1
Living in high cooling density areas,Europe,SDS,2070,3
Living in high cooling density areas,Middle East,SDS,2070,17
Living in high cooling density areas,Africa,SDS,2070,25
Living in high cooling density areas,World,SDS,2070,25
Living in high cooling density areas,Asia Pacific,STEPS,2040,26
Living in high cooling density areas,Central & South America,STEPS,2040,33
Living in high cooling density areas,North America,STEPS,2040,14
Living in high cooling density areas,Eurasia,STEPS,2040,1
Living in high cooling density areas,Europe,STEPS,2040,2
Living in high cooling density areas,Middle East,STEPS,2040,14
Living in high cooling density areas,Africa,STEPS,2040,20
Living in high cooling density areas,World,STEPS,2040,21
Living in high cooling density areas,Asia Pacific,STEPS,2070,33
Living in high cooling density areas,Central & South America,STEPS,2070,36
Living in high cooling density areas,North America,STEPS,2070,17
Living in high cooling density areas,Eurasia,STEPS,2070,2
Living in high cooling density areas,Europe,STEPS,2070,4
Living in high cooling density areas,Middle East,STEPS,2070,19
Living in high cooling density areas,Africa,STEPS,2070,25
Living in high cooling density areas,World,STEPS,2070,26
