variable,region,scenario,year,value
Living in high heating and cooling density areas,Europe,STEPS,2070,1
Living in high heating and cooling density areas,Middle East,STEPS,2070,2
Living in high heating and cooling density areas,Africa,STEPS,2070,0
Living in high heating and cooling density areas,World,STEPS,2070,2
Heat pump potential,Asia Pacific,0,2019,35
Heat pump potential,Central & South America,0,2019,31
Heat pump potential,North America,0,2019,37
Heat pump potential,Eurasia,0,2019,20
Heat pump potential,Europe,0,2019,25
Heat pump potential,Middle East,0,2019,46
Heat pump potential,Africa,0,2019,11
Heat pump potential,World,0,2019,33
Heat pump potential,Asia Pacific,SDS,2040,47
Heat pump potential,Central & South America,SDS,2040,63
Heat pump potential,North America,SDS,2040,63
Heat pump potential,Eurasia,SDS,2040,45
Heat pump potential,Europe,SDS,2040,47
Heat pump potential,Middle East,SDS,2040,65
Heat pump potential,Africa,SDS,2040,30
Heat pump potential,World,SDS,2040,52
Heat pump potential,Asia Pacific,SDS,2070,55
Heat pump potential,Central & South America,SDS,2070,75
Heat pump potential,North America,SDS,2070,72
Heat pump potential,Eurasia,SDS,2070,57
Heat pump potential,Europe,SDS,2070,60
Heat pump potential,Middle East,SDS,2070,68
Heat pump potential,Africa,SDS,2070,66
Heat pump potential,World,SDS,2070,62
Heat pump potential,Asia Pacific,STEPS,2040,46
Heat pump potential,Central & South America,STEPS,2040,54
Heat pump potential,North America,STEPS,2040,55
Heat pump potential,Eurasia,STEPS,2040,36
Heat pump potential,Europe,STEPS,2040,40
Heat pump potential,Middle East,STEPS,2040,61
Heat pump potential,World,STEPS,2040,22
Heat pump potential,Africa,STEPS,2040,46
Heat pump potential,Asia Pacific,STEPS,2070,48
Heat pump potential,Central & South America,STEPS,2070,72
Heat pump potential,North America,STEPS,2070,66
Heat pump potential,Eurasia,STEPS,2070,51
Heat pump potential,Europe,STEPS,2070,50
Heat pump potential,Middle East,STEPS,2070,62
Heat pump potential,Africa,STEPS,2070,60
Heat pump potential,World,STEPS,2070,55
