variable,ISO,region,scenario,year,value
Need of heating only,ARE,United Arab Emirates,0,2019,0.0
Need of heating only,MDV,Maldives,0,2019,0.0
Need of heating only,GIN,Guinea,0,2019,0.0
Need of heating only,MWI,Malawi,0,2019,0.0
Need of heating only,PRY,Paraguay,0,2019,0.0
Need of heating only,BHS,Bahamas,0,2019,0.0
Need of heating only,GBR,United Kingdom,0,2019,91.9
Need of heating only,BMU,Bermuda,0,2019,0.0
Need of heating only,MNP,Northern Mariana Islands,0,2019,0.0
Need of heating only,GUM,Guam,0,2019,0.0
Need of heating only,UZB,Uzbekistan,0,2019,6.4
Need of heating only,OMN,Oman,0,2019,0.0
Need of heating only,GUF,French Guiana,0,2019,0.0
Need of heating only,ATF,French Southern and Antarctic Lands,0,2019,0.0
Need of heating only,SHN,Saint Helena,0,2019,0.0
Need of heating only,ARG,Argentina,0,2019,3.8
Need of heating only,BIH,Bosnia and Herzegovina,0,2019,0.2
Need of heating only,MOZ,Mozambique,0,2019,0.0
Need of heating only,CHL,Chile,0,2019,23.5
Need of heating only,MAR,Morocco,0,2019,0.0
Need of heating only,GTM,Guatemala,0,2019,0.0
Need of heating only,IOT,British Indian Ocean Territory,0,2019,0.0
Need of heating only,PHL,Philippines,0,2019,0.0
Need of heating only,PRK,Democratic People's Republic of Korea,0,2019,4.9
Need of heating only,ZWE,Zimbabwe,0,2019,0.0
Need of heating only,NGA,Nigeria,0,2019,0.0
Need of heating only,MCO,Monaco,0,2019,0.0
Need of heating only,MNG,Mongolia,0,2019,80.9
Need of heating only,KEN,Kenya,0,2019,0.0
Need of heating only,CUW,Cura̤ao,0,2019,0.0
Need of heating only,GLP,Guadeloupe,0,2019,0.0
Need of heating only,NOR,Norway,0,2019,100.0
Need of heating only,MNE,Montenegro,0,2019,31.3
Need of heating only,STP,Sao Tome and Principe,0,2019,0.0
Need of heating only,BOL,Bolivia,0,2019,44.5
Need of heating only,BRN,Brunei Darussalam,0,2019,0.0
Need of heating only,BHR,Bahrain,0,2019,0.0
Need of heating only,CXR,Christmas Island,0,2019,0.0
Need of heating only,TKM,Turkmenistan,0,2019,0.0
Need of heating only,MMR,Myanmar,0,2019,0.0
Need of heating only,NZL,New Zealand,0,2019,11.5
Need of heating only,UGA,Uganda,0,2019,0.0
Need of heating only,ECU,Ecuador,0,2019,17.6
Need of heating only,PCN,Pitcairn,0,2019,0.0
Need of heating only,SUR,Suriname,0,2019,0.0
Need of heating only,MHL,Marshall Islands,0,2019,0.0
Need of heating only,SYC,Seychelles,0,2019,0.0
Need of heating only,YEM,Yemen,0,2019,0.0
Need of heating only,COL,Colombia,0,2019,7.8
Need of heating only,ROU,Romania,0,2019,5.4
Need of heating only,SSD,South Sudan,0,2019,0.0
Need of heating only,PER,Peru,0,2019,27.9
Need of heating only,MTQ,Martinique,0,2019,0.0
Need of heating only,IRL,Ireland,0,2019,100.0
Need of heating only,RWA,Rwanda,0,2019,0.0
Need of heating only,AIA,Anguilla,0,2019,0.0
Need of heating only,GEO,Georgia,0,2019,13.3
Need of heating only,NLD,Netherlands,0,2019,0.0
Need of heating only,IMN,Isle of Man,0,2019,100.0
Need of heating only,ALB,Albania,0,2019,0.0
Need of heating only,ASM,American Samoa,0,2019,0.0
Need of heating only,SJM,Svalbard and Jan Mayen,0,2019,100.0
Need of heating only,FJI,Fiji,0,2019,0.0
Need of heating only,VUT,Vanuatu,0,2019,0.0
Need of heating only,ISL,Iceland,0,2019,100.0
Need of heating only,SWZ,Eswatini,0,2019,0.0
Need of heating only,MLT,Malta,0,2019,0.0
Need of heating only,TTO,Trinidad and Tobago,0,2019,0.0
Need of heating only,CAF,Central African Republic,0,2019,0.0
