country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Bulgaria,913531.75,859272.56,869498.75,869782.7,853295.75,768031.75,470436.2,449085.62,389639.22,502568.06,437778.66,599081.94,430463.1,355863.38,505404,834584.6,872513.4,529939.8,806135.06,859755.75,913198.8,927449.06,703793.1,987239.9,978428.06,986930.4,865538.6,878746,872409.25,870168.25
Burkina Faso,1007310,988789.9,980656.06,960272.2,926510.7,1060361,1027619.8,1042782,1108593.5,1109326.8,1087967.4,930531.3,899812.75,1058731.9,1075011.4,896562.6,1051067.1,1016091.1,1043646.3,924817.9,941154.9,990147.75,917237.2,894891.06,916147.4,1053732.2,1034882,974306.7,1049932.1,1009278.6
Burundi,713793.44,761876.7,811954.56,653993.2,775248,842609.2,885045.7,757372.3,713477.94,616245.25,768413.25,668662.94,735055.56,670174.06,771340.56,807051.2,909182.5,904177.1,920245.44,786326.06,623420.56,491977.2,770267.9,894290.5,777280.7,425500.78,763035.75,840657.2,619834.75,434895.16
Cabo Verde,1083651.4,1029233.2,951464.44,1064766.5,1058009.2,983465.25,1057619,1072091.2,1067537.5,1070998.9,1056126.5,1013383.1,1077580.1,1097920.4,1105203.5,1094353,1064778.9,1060073,1037491.7,1100210.6,1087377.6,1054683.1,815046.5,1026927.5,1050176.4,1132309.2,1129229.8,1120719.8,1099022.2,1013088.2
Cambodia,749302.44,825596.94,879922.1,709681.4,817159.9,914500.2,904314.3,938558.25,933833.25,968545.75,986032.3,914063.75,924015.5,904599.44,870433.2,966327.4,886792.4,894195.06,943724.7,972517,962377.7,978675.25,1003053.7,990690.8,953857.8,946427.44,954144.1,859137.25,991251.8,938187
Cameroon,950318.8,769227.2,1010950.8,859905.9,762645.8,834361.94,856281.44,783515.06,953886.9,858586.5,658816.1,806561.94,694908.7,702096.8,905173.06,633579.56,917977.56,649097.5,824988.9,741630.5,883475.5,817357.7,855784.56,852288.2,832578.5,844926.2,960703.5,918550,819672.25,803322.1
Canada,570996.44,613568.4,587166.6,595967.56,613224.44,604534.4,605868.06,615638.75,651339.1,686089.94,719575.9,662736.8,658638.1,684086.8,678258,719014,782470.8,688458.6,653665.75,735713.06,725858.1,785058.1,736377.4,756662.56,782175.3,738330.5,752719,803745.3,826043.4,848023.56
Cayman Islands,1030135.75,1057011.6,1092400.9,1085887,826521.44,1026751.7,1049102.5,1037680.94,866687.44,819031.2,946422.75,1066293.9,1102648.9,1075638.9,1041601.06,1077017.8,1086442.2,1040742.2,1087755.6,1059479.1,1019739.94,985606.3,1030551.56,1071116.9,1066769.9,1073694,1105636.1,1003243.56,1090179.4,1053102
Central African Republic,956078.7,834417.4,1044884.7,955189.8,1069111.6,1004725,878365.3,895967.5,920570.5,799226.75,980343.4,789048.2,763543.94,936305.56,908053.1,784071.4,962933,916002.4,754917.06,963247.5,1004508.75,1020818.8,972938.9,1030618.06,994590.06,913318.06,990596.6,934848.6,726422.94,681719.25
Chad,1123400.1,1118604.1,1131237.1,1126970.8,1140028.6,1133964.2,1124125.5,1113670.4,1106678.9,1125166.5,1131952,1099387.1,1055597.6,955354.56,939614.6,1081371.8,1162441.2,1155077.4,1107025.4,1121125.8,1118087.4,1152360,1150081.6,1155618.5,1169537,1200321,1153984.9,1129015.5,1121344.4,1070355.4
Chile,627686.4,697282.2,620137.06,629067.1,675900.56,714096.3,690549.3,635920.6,604826.6,694000.75,688448.06,591901.7,590070.3,633627.75,642791.56,618865.75,596844.9,568028.44,592409.7,607254.9,639542.6,576488.9,616724.94,512462.7,580789.75,525717.4,513630.47,530742.5,590854.3,551889.7
China (People's Republic of),827255.1,778192.25,819727.7,813437.44,924601.4,931420,913852.7,880374.9,850788.9,853945.06,880265.2,871576.6,845952.94,867577.44,900004,932034.2,925426.6,903688.1,863425.06,847850.2,888381.56,866024.44,917185.75,926909.75,947901.56,933290.6,858143.2,844531.9,879225.7,911176.4
Chinese Taipei,429298.9,609318.94,784872.9,743891.8,840143.8,956149.25,967296.75,993446.94,1033866.9,1027963.6,852415,639486.8,808126.94,843981.56,566061.44,463070,868591.06,804798.25,353062.34,700455.4,702607.44,899007.6,960726.75,1056884.1,1105786.9,915309.4,781312.75,842320.44,955449.7,961676.4
Colombia,650321.06,683105.6,812638.44,854889.2,872706,887431.2,802339.9,741065.3,800202.7,797776.94,772795.1,679503.5,703835.4,776814.25,686562.3,737454.9,604665,552162,621548.44,622867.3,577239,565178.56,772245.94,552920.44,646270.7,645204.9,675978.06,745529.7,757558,847966.1
Comoros,915648.6,892011.8,941148.9,788222.56,790058.06,856585.2,927798.75,933189.94,898274.75,963585.44,951968.5,906179.2,913496.6,930129,961284.5,953201.25,907706.75,878753.56,869257.4,840530.44,721148.5,865621.2,726990.25,137218.81,336149.88,782457.94,875677.4,898001.3,508656.3,545169.94
Congo,939340.25,719332.5,930901.1,909310.9,760951.1,809102.1,558202.94,840754.2,933581.44,828421.1,445083.38,892510.4,913168.06,662715.6,895304.94,636474.9,914138.94,826563.75,699739.5,810816.3,722786.9,888590.3,907501.3,879514.1,776801.06,614161.9,879984.25,878352.4,610716.2,680846.56
Costa Rica,949189.06,938295.6,1015933,882939.4,736274.94,859555.3,851147.56,949655.5,889653.9,801373.25,828605.2,849772.7,935871.94,892317.75,922229.06,885094.06,986886.3,749231.25,813621.7,790709.2,829220.5,764330.75,853629.2,922637.9,884669.3,910890.1,906347.9,858725.75,733533.1,763551.7
Côte d'Ivoire,886602.94,863693.25,735933.75,907313.25,767614.6,919967.1,744442.75,644027.9,1005948.3,883622,830135.56,680498.4,885716.9,836697.7,907822.56,823502.9,841289.5,911445.25,767443.8,943685.75,928384.9,885881.2,907337.8,760671.94,864720.8,832242.5,722436.3,910131.2,874866.44,839469.5
