LATITUDE;LONGITUDE;SECTOR;value
46.9;26.0167;Cement;0.971423
45.9564;22.8792;Cement;0.550473
45.1222;25.4183;Cement;0.809519
47.0572;22.3969;Cement;0.42095
45.2678;25.0464;Cement;0.647615
46.5667;23.7833;Cement;0.064762
45.6667;25.6167;Cement;0.323808
44.1667;28.6333;Cement;0.679996
47.7333;28.95;Cement;0.323808
47.7667;29;Cement;0.323808
50.032;15.187;Chemicals;0
50.5548;13.6042;Chemicals;0
50.0617;15.7281;Chemicals;0
50.5617;13.6021;Chemicals;0
50.2738;14.524;Chemicals;0
49.494;17.9591;Chemicals;0
48.7512;16.8925;Chemicals;0
48.0233;7.8444;Chemicals;0
47.6724;9.1684;Chemicals;0
49.4495;17.4358;Chemicals;0
49.5277;8.4737;Chemicals;0
48.1824;12.7339;Chemicals;0
49.5296;8.4731;Chemicals;0
47.5619;7.7961;Chemicals;0
53.9129;9.158;Chemicals;0
48.1492;12.6265;Chemicals;0
47.5702;7.8081;Chemicals;0
48.1838;12.7328;Chemicals;0
49.527;8.444;Chemicals;0
49.5554;8.4139;Chemicals;0
48.6709;9.0402;Chemicals;0
53.5167;10.0253;Chemicals;0
53.7263;9.9932;Chemicals;0
49.1619;9.2156;Chemicals;0
48.178;12.7328;Chemicals;0
49.2305;9.1782;Chemicals;0
48.7587;11.7027;Chemicals;0
53.6323;9.5042;Chemicals;0
52.953;8.2254;Chemicals;0
48.0417;11.5077;Chemicals;0
48.473;11.9462;Chemicals;0
53.9045;9.1831;Chemicals;0
53.845;10.6765;Chemicals;0
47.5471;7.6645;Chemicals;0
48.7966;11.6801;Chemicals;0
51.4723;6.6455;Chemicals;0
51.9093;10.47;Chemicals;0
53.5217;10.0333;Chemicals;0
49.4551;8.4409;Chemicals;0
48.1822;12.8477;Chemicals;0
53.5667;8.1238;Chemicals;0
48.9071;11.9047;Chemicals;0
48.4456;10.8837;Chemicals;0
51.2645;7.233;Chemicals;0
53.9122;9.209;Chemicals;0
48.0192;12.5554;Chemicals;0
51.5215;6.8026;Chemicals;0
49.4526;8.4365;Chemicals;0
49.455;8.4407;Chemicals;0
49.4271;12.1563;Chemicals;0
