YEAR;FACILITY_NAME;GHGRP_ID;ADDRESS;LATITUDE;LONGITUDE;CITY;COUNTY;STATE;ZIP_CODE;PARENT_CO;SUBPARTS;NUM_SECTORS;TOTAL_REPORTED_CO2_tCO2;POWER;REFINING;IRON STEEL;CHEMICALS;CEMENT;TOTAL_CO2_tCO2
2017;Lehigh Northeast Cement Company;1000290;313 WARREN STREET;43.3064;-73.6208;GLENS FALLS;Warren;NY;12801;LEHIGH HANSON INC (100%);C,H;1;270667;0;0;0;0;270667;270667
2017;Leland Olds;1000836;HWY 200;47.2819;-101.3194;STANTON;Mercer;ND;58571;BASIN ELECTRIC POWER COOPERATIVE (100%);D;1;4190598;4190598;0;0;0;0;4190598
2017;Lemont Refinery;1000343;135TH STREET AND NEW AVENUE;41.6439;-88.0467;LEMONT;Will;IL;60439;PDV HOLDING INC (100%);C,MM,P,Y;2;1752394;0;1705768;0;46625;0;1752393
2017;Leon Creek;1000956;7718 QUINTANA RD;29.3511;-98.5753;SAN ANTONIO;Bexar;TX;78211;CPS ENERGY (100%);D;1;59410;59410;0;0;0;0;59410
2017;Lewis & Clark;1007768;SOUTH OF SIDNEY;47.6788;-104.1569;RICHLAND;Richland;MT;59270;MDU RESOURCES GROUP INC (100%);C,D;1;310378;310378;0;0;0;0;310378
2017;Lewis Creek;1000928;11191 LONGSTREET ROAD;30.4364;-95.5215;WILLIS;Montgomery;TX;77318;ENTERGY CORP (100%);C,D;1;1027067;1027067;0;0;0;0;1027067
2017;Liberty Electric Power Plant;1001376;1000 Industrial Highway;39.8622;-75.3361;Edddystone;Delaware;PA;19022;LIBERTY ELECTRIC POWER (100%);D;1;1644566;1644566;0;0;0;0;1644566
2017;Lieberman Power Plant;1001610;11730 LA HWY 538;32.7047;-93.9597;MOORINGSPORT;Caddo;LA;71060;AMERICAN ELECTRIC POWER (100%);C,D;1;25440;25440;0;0;0;0;25440
2017;Lima Refinery;1000411;1150 SOUTH METCALF STREET;40.7234;-84.1133;LIMA;Allen;OH;45804;LIMA REFINING CO (100%);C,MM,Y;1;1424558;0;1424558;0;0;0;1424558
2017;Limestone;1005713;3964 FM 39;31.4219;-96.2525;JEWETT;Limestone;TX;75846;NRG ENERGY INC (100%);D;1;9607627;9607627;0;0;0;0;9607627
2017;Limetree Bay Terminals, LLC;1006451;1 ESTATE HOPE;17.7102;-64.7544;CHRISTIANSTED;ST. CROIX ISLAND;VI;820;LIMETREE BAY TERMINALS LLC (100%);C,MM,Y;1;99236;0;99236;0;0;0;99236
2017;Limon Generating Station;1000060;48303 STATE ROAD 71;39.2038;-103.7005;LIMON;Lincoln;CO;80828;TRI-STATE GENERATION & TRANSMISSION (100%);C,D;1;25258;25258;0;0;0;0;25258
2017;Lincoln;1001109;6769 OLD PLANK ROAD;35.4317;-81.0347;STANLEY;Lincoln;NC;28164;DUKE ENERGY CORP (100%);D;1;18279;18279;0;0;0;0;18279
2017;Lincoln Generating Facility;1001369;27155 SOUTH KANKAKEE Street;41.3937;-87.9437;MANHATTAN;Will;IL;60442;ARCLIGHT CAPITAL PARTNERS LLC (100%);C,D;1;20476;20476;0;0;0;0;20476
2017;Linde Gas North America LLC, Anacortes Hydrogen Plant;1010969;8529 South Texas Road;48.465891;-122.565397;Anacortes;SKAGIT COUNTY;WA;98221;LINDE GAS NORTH AMERICA LLC (100%);P;1;36176;0;0;0;36176;0;36176
