SECTOR;value;LATITUDE;LONGITUDE
Cement;0.13501;32.6812;112.8075
Cement;4.77931;34.6704;113.3503
Cement;1.4761;35.3985;114.0612
Cement;1.40409;34.1405;113.4879
Cement;0.70205;32.0099;114.9188
Cement;1.40409;33.8991;112.8954
Cement;1.05307;34.1672;112.8416
Cement;0.70205;34.7678;111.7619
Cement;0.63004;33.0279;112.2431
Cement;1.19258;35.3985;114.0646
Cement;0.11701;35.4617;113.8054
Cement;0.42303;35.4617;113.8054
Cement;0.63004;34.5216;113.4311
Cement;0.13951;29.9706;113.9393
Cement;0.67504;29.7248;113.9005
Cement;0.70205;29.9706;113.9393
Cement;0.67504;32.5245;111.7422
Cement;0.35102;30.5316;111.4187
Cement;0.86856;30.8212;111.7883
Cement;0.72905;31.0519;112.2016
Cement;0.13951;29.5554;114.0475
Cement;0.39153;30.2722;109.4882
Cement;0.56254;30.0955;114.9798
Cement;1.12507;30.1793;115.045
Cement;1.5166;29.8443;115.5613
Cement;1.5166;29.8304;115.2153
Cement;0.56254;29.7248;113.9005
Cement;0.91356;32.0555;110.7412
Cement;0.80105;30.3783;111.45
Cement;0.56254;30.8258;110.9777
Cement;0.80105;31.2555;113.6891
Cement;2.25015;30.5343;114.7298
Cement;0.27902;31.0185;113.1196
Cement;0.27002;31.0185;113.1196
Cement;0.42303;32.9931;110.4259
Cement;0.35102;32.3181;109.7153
Cement;0.21151;29.4939;109.407
Cement;0.35102;30.1696;111.7674
Cement;0.16651;30.6444;111.361
Cement;1.44009;25.0552;101.5705
Cement;0.91356;28.246;113.0809
Cement;0.70205;28.3612;112.8179
Cement;1.40409;28.2083;113.2886
Cement;0.63004;29.0187;111.6807
Cement;0.35102;26.7868;112.1207
Cement;0.91356;26.4224;112.8599
Cement;0.70205;27.114;111.0325
Cement;0.63004;25.5527;113.0009
Cement;0.91356;25.9426;113.2294
Cement;0.91356;25.7474;112.7313
Cement;0.77405;26.9126;112.5675
Cement;0.70205;27.4399;109.945
Cement;0.91356;28.0065;110.1837
Cement;0.13951;29.5841;111.3798
Cement;0.51753;29.5841;111.3798
Cement;0.16651;27.9083;110.5949
Cement;3.60023;28.246;113.0809
Cement;1.80012;28.5182;112.1557
Cement;0.56254;26.4444;111.5919
Cement;0.56254;28.2272;112.0047
Cement;0.45003;25.9589;112.579
Cement;0.70205;27.856;113.1733
Cement;0.70205;27.9575;112.8377
