LATITUDE;LONGITUDE;SECTOR;value
38.9361;-88.2778;Power;3.168183
33.8264;-80.6218;Power;3.117465
36.766854;-77.711098;Power;3.070746
44.2886;-105.3847;Power;3.06654
38.5731;-82.7833;Power;3.04319
30.2861;-93.2917;Power;3.040687
36.4317;-95.7008;Power;3.017734
29.0728;-95.745;Power;3.009475
27.8613;-82.6012;Power;2.986292
30.3215;-91.2392;Power;2.977614
37.4497;-87.0803;Power;2.951413
36.9161;-82.3381;Power;2.950973
47.2217;-101.8139;Power;2.950299
40.5958;-89.6631;Power;2.941027
45.03;-92.7786;Power;2.938999
43.6425;-83.8431;Power;2.930423
40.2797;-90.0775;Power;2.909866
39.1306;-94.4778;Power;2.891853
42.3917;-71.0667;Power;2.885329
29.8356;-95.1242;Power;2.872486
39.0913;-84.8667;Power;2.856919
35.3775;-78.0875;Power;2.855571
40.1464;-74.7406;Power;2.84574
34.0158;-95.3206;Power;2.81799
40.4856;-107.185;Power;2.802275
31.0932;-96.6965;Power;2.755021
36.2561;-94.5241;Power;2.751683
36.0211;-84.1567;Power;2.72573
33.3761;-89.2183;Power;2.712673
41.4797;-88.2581;Power;2.667359
39.0072;-95.2692;Power;2.666611
17.9493;-66.2317;Power;2.66196
34.3477;-82.776;Power;2.650552
39.7539;-89.6011;Power;2.618055
41.0714;-76.6672;Power;2.605727
37.6467;-87.5006;Power;2.59327
30.4172;-81.5525;Power;2.555132
34.7094;-84.9182;Power;2.549496
39.8078;-104.9648;Power;2.543616
40.4081;-79.0339;Power;2.538915
36.3853;-114.9228;Power;2.520374
40.6322;-74.2156;Power;2.498076
30.2588;-93.7353;Power;2.493059
17.9451;-66.1503;Power;2.462578
40.097;-76.6962;Power;2.447868
38.3592;-76.9767;Power;2.431757
28.4694;-80.7642;Power;2.425245
27.9072;-82.4231;Power;2.421579
42.3231;-86.2925;Power;2.397381
26.7653;-80.0528;Power;2.383779
26.0856;-80.1253;Power;2.341928
36.0278;-87.9861;Power;2.329743
