SECTOR,value,LONGITUDE,LATITUDE
Chemicals,0.024397,6.554,60.11
Chemicals,0.034216,27.38,44.53
Chemicals,0.026257,8.685,63.41
Chemicals,0.029827,27.7,43.26
Chemicals,0.013017,26.47,46.87
Chemicals,0.339183,13.61,50.56
Chemicals,0.033174,19.27,50.04
Chemicals,0.016736,27.66,43.2
Chemicals,0.023579,23.72,44.37
Chemicals,0.00967,23.72,44.37
Chemicals,0.012273,-1.24,54.57
Chemicals,0.013538,-0.52,44.9
Chemicals,0.031687,15.71,50.05
Chemicals,0.050059,9.621,59.12
Chemicals,0.025067,28.76,45.17
Chemicals,0.060622,9.621,59.12
Chemicals,0.023579,24.89,43.71
Chemicals,0.008182,28.64,44.33
Chemicals,0.008331,24.33,55.08
Chemicals,0.027819,17.17,48.12
Chemicals,0.034141,9.593,59.09
Chemicals,0.049241,9.621,59.12
Chemicals,0.145789,21.97,51.45
Chemicals,0.022538,24.47,40.95
Chemicals,0.092978,14.54,53.57
Chemicals,0.012199,-1.27,54.58
Chemicals,0.045596,-2.79,53.28
Chemicals,0.017405,-2.74,53.31
Chemicals,0.023505,-2.74,53.31
Chemicals,0.042621,-1.18,54.59
Chemicals,0.02224,14.52,50.27
Chemicals,0.02291,8.685,63.41
Chemicals,0.170335,24.33,55.08
Chemicals,0.078101,15.17,37.13
Chemicals,0.015769,24.33,55.08
Chemicals,0.008182,-0.16,53.61
Chemicals,0.008703,-0.16,53.61
Chemicals,0.020604,6.554,60.11
Chemicals,0.020232,24.47,40.95
Chemicals,0.008405,9.766,45.71
Chemicals,0.013389,24.47,40.95
Chemicals,0.020901,17.95,49.49
Chemicals,0.013166,17.26,50.46
Chemicals,0.04158,11.59,44.85
Chemicals,0.023282,-3.5,54.41
Chemicals,0.03191,-0.23,53.73
Chemicals,0.012571,12.23,44.43
Chemicals,0.013314,12.23,44.43
Chemicals,0.011009,12.23,44.43
Chemicals,0.017926,0.53,49.5
Chemicals,0.034216,18,40.63
Chemicals,0.020604,0.57,49.48
Chemicals,0.014653,12.25,44.45
Chemicals,0.037489,0.22,49.48
Chemicals,0.02648,15.17,37.21
Chemicals,0.028265,15.17,37.21
Chemicals,0.01138,12.23,44.43
Chemicals,0.014951,12.25,44.45
Chemicals,0.081821,0.22,49.48
Chemicals,0.010488,12.23,44.43
Chemicals,0.096697,15.17,37.13
Chemicals,0.072746,0.57,49.48
Chemicals,0.08554,20.92,50.02
Chemicals,0.075126,18.96,52.7
Chemicals,0.013389,8.353,40.83
Chemicals,0.010562,12.23,44.43
Chemicals,0.039571,15.26,38.2
Chemicals,0.037786,-1.17,54.6
Chemicals,0.009149,10.85,45.13
Chemicals,0.013389,10.83,45.13
Chemicals,0.013761,9.766,45.71
Chemicals,0.127938,21.97,51.45
Chemicals,0.021273,10.47,43.4
Chemicals,0.034439,1.04,49.4
Chemicals,0.013166,15.2,37.2
Chemicals,0.032059,9.593,59.09
Chemicals,0.018372,6.554,60.11
Chemicals,0.057572,12.23,45.44
Chemicals,0.027001,-0.23,53.73
Chemicals,0.040687,15.26,38.2
Chemicals,0.083308,18.11,52.76
Chemicals,0.075126,18.25,50.3
Chemicals,0.023505,10.47,43.4
Chemicals,0.014728,10.83,45.13
Chemicals,0.055861,11.59,44.85
Chemicals,0.060027,11.59,44.85
Chemicals,0.014802,12.25,44.45
Chemicals,0.010042,12.23,44.43
Chemicals,0.013463,10.83,45.13
Chemicals,0.009595,9.766,45.71
Chemicals,0.036373,18,40.63
Chemicals,0.014058,24.47,40.95
Chemicals,0.014133,15.2,37.2
Chemicals,0.031241,15.17,37.21
Chemicals,0.008405,9.766,45.71
Chemicals,0.013314,12.25,44.45
Chemicals,0.020753,6.554,60.11
Chemicals,0.036075,9.593,59.09
Chemicals,0.0241,15.1,51.63
Chemicals,0.018893,10.47,43.4
Chemicals,0.024695,8.685,63.41
Chemicals,0.029232,15.26,38.2
Chemicals,0.027224,14.32,50.25
Chemicals,0.05177,8.353,40.83
Chemicals,0.089259,24.5,46.51
Chemicals,0.011752,4.85,45.7
Chemicals,0.028265,15.17,37.21
Chemicals,0.012496,15.2,37.2
Chemicals,0.058464,18.24,52.75
Chemicals,0.007736,8.353,40.83
Chemicals,0.042844,2.22,51
Chemicals,0.011455,15.2,37.2
Chemicals,0.014579,10.83,45.13
Chemicals,0.034885,18,40.63
Chemicals,0.015025,15.2,37.2
Chemicals,0.02343,8.685,63.41
Chemicals,0.015992,14.07,50.51
Chemicals,0.011827,8.812,45.43
Chemicals,0.008926,9.766,45.71
Chemicals,0.02343,10.47,43.4
Chemicals,0.082564,5.16,43.5
Chemicals,0.017108,4.9,43.45
Chemicals,0.018744,10.47,43.4
Chemicals,0.011901,12.23,44.43
Chemicals,0.013166,14.07,50.51
Chemicals,0.032282,18,40.63
Chemicals,0.081077,20.92,50.02
Chemicals,0.10116,14.54,53.57
Chemicals,0.068209,18.96,52.7
Chemicals,0.129425,21.97,51.45
Chemicals,0.014281,10.83,45.13
Chemicals,0.013538,12.25,44.45
Chemicals,0.010339,12.23,44.43
Chemicals,0.045968,6.36,48.61
Chemicals,0.104135,14.54,53.57
Chemicals,0.058985,18.96,52.7
Chemicals,0.007438,8.741,45.43
Chemicals,0.00781,8.741,45.43
Chemicals,0.016736,-2.66,51.54
Chemicals,0.032877,25.52,60.3
Chemicals,0.024323,8.685,63.41
Chemicals,0.01086,18.97,52.7
Chemicals,0.127194,5.04,43.38
Chemicals,0.055564,18.24,52.75
Chemicals,0.142814,21.97,51.45
